name,crunchlink,category,country,state,city,round,date,year,money,
4Home,/organization/4home,Cloud Computing,USA,CA,Sunnyvale,B,2008-09-30,2008,"1,000,000"
4Home,/organization/4home,Cloud Computing,USA,CA,Sunnyvale,C,2009-06-11,2009,"500,000"
4Home,/organization/4home,Cloud Computing,USA,CA,Sunnyvale,venture,2009-09-21,2009,"525,000"
4Home,/organization/4home,Cloud Computing,USA,CA,Sunnyvale,venture,2010-02-03,2010,"4,271,354"
4INFO,/organization/4info,Advertising,USA,CA,San Mateo,C,2005-03-01,2005,"8,000,000"
4INFO,/organization/4info,Advertising,USA,CA,San Mateo,D,2007-06-01,2007,"10,000,000"
4INFO,/organization/4info,Advertising,USA,CA,San Mateo,venture,2009-01-22,2009,"20,000,000"
4INFO,/organization/4info,Advertising,USA,CA,San Mateo,D,2011-10-27,2011,"14,000,000"
4INFO,/organization/4info,Advertising,USA,CA,San Mateo,venture,2013-04-01,2013,"4,288,000"
4INFO,/organization/4info,Advertising,USA,CA,San Mateo,E,2013-08-04,2013,"8,000,000"
4moms,/organization/4moms,Hardware + Software,USA,PA,Pittsburgh,A,2012-08-09,2012,"20,000,000"
4moms,/organization/4moms,Hardware + Software,USA,PA,Pittsburgh,B,2014-09-10,2014,"40,000,000"
5 examples,/organization/5-examples,Software,USA,NC,Morrisville,venture,2010-07-14,2010,"250,000"
5 O'Clock Records,/organization/5-oclock-records,Software,USA,NY,New York,angel,2013-01-08,2013,"440,000"
500Friends,/organization/500friends,E-Commerce,USA,CA,San Francisco,seed,2009-12-15,2009,"1,400,000"
500Friends,/organization/500friends,E-Commerce,USA,CA,San Francisco,A,2012-03-14,2012,"4,500,000"
500Friends,/organization/500friends,E-Commerce,USA,CA,San Francisco,B,2013-03-12,2013,"5,000,000"
500px,/organization/500px,Photography,CAN,ON,Toronto,seed,2011-06-03,2011,"525,000"
500px,/organization/500px,Photography,CAN,ON,Toronto,A,2013-08-07,2013,"8,800,000"
5min Media,/organization/5min,Video,USA,NY,New York,angel,2007-04-01,2007,"300,000"
5min Media,/organization/5min,Video,USA,NY,New York,A,2007-11-01,2007,"5,000,000"
5min Media,/organization/5min,Video,USA,NY,New York,B,2009-07-23,2009,"7,500,000"
5th Avenue Media,/organization/5th-avenue-media,Distribution,USA,NY,New York,seed,2012-09-02,2012,"250,000"
5th Finger,/organization/5th-finger,Mobile,USA,CA,San Francisco,A,2008-06-13,2008,"7,000,000"
5th Planet Games,/organization/5th-planet-games,Mobile Games,USA,CA,Roseville,venture,2014-07-16,2014,"3,000,000"
5to1,/organization/5to1,Internet,USA,WA,Seattle,venture,2009-06-17,2009,"2,492,516"
5to1,/organization/5to1,Internet,USA,WA,Seattle,venture,2009-12-10,2009,"6,309,744"
5to1,/organization/5to1,Internet,USA,WA,Seattle,venture,2010-11-10,2010,"6,500,000"
64 Pixels,/organization/64-pixels,Curated Web,USA,CA,Mountain View,angel,2010-10-01,2010,"100,000"
640 Labs,/organization/640-labs,Software,USA,IL,Chicago,seed,2014-07-07,2014,"2,700,000"
6connect,/organization/6connect,Web Hosting,USA,CA,San Francisco,A,2011-08-23,2011,"2,000,000"
6fusion,/organization/6fusion,Enterprise Software,USA,NC,Raleigh,A,2010-08-23,2010,"3,000,000"
6fusion,/organization/6fusion,Enterprise Software,USA,NC,Raleigh,B,2011-08-22,2011,"7,000,000"
6sense,/organization/6sense,Predictive Analytics,USA,CA,San Francisco,A,2014-05-20,2014,"12,000,000"
6sense,/organization/6sense,Predictive Analytics,USA,CA,San Francisco,B,2015-02-19,2015,"20,000,000"
6SensorLabs,/organization/6sensor-labs,Specialty Foods,USA,CA,San Francisco,seed,2014-09-11,2014,"4,000,000"
6SensorLabs,/organization/6sensor-labs,Specialty Foods,USA,CA,San Francisco,venture,2014-09-12,2014,"4,000,000"
6th Sense Analytics,/organization/6th-sense-analytics,Software,USA,NC,Morrisville,venture,2005-11-11,2005,"1,700,000"
6th Sense Analytics,/organization/6th-sense-analytics,Software,USA,NC,Morrisville,A,2007-01-31,2007,"5,000,000"
7 Billion People,/organization/7-billion-people,E-Commerce,USA,TX,Austin,seed,2009-02-09,2009,"3,800,000"
7 Billion People,/organization/7-billion-people,E-Commerce,USA,TX,Austin,venture,2012-07-13,2012,"2,368,902"
7 Oaks Pharmaceutical,/organization/7-oaks-pharmaceutical,Biotechnology,USA,SC,Easley,venture,2011-06-06,2011,"1,613,014"
7 Star Entertainment,/organization/7-star-entertainment,Games,USA,FL,Pompano Beach,venture,2010-07-14,2010,"10,000,000"
71lbs,/organization/71lbs,Small and Medium Businesses,USA,FL,Fort Lauderdale,seed,2013-01-01,2013,"300,000"
71lbs,/organization/71lbs,Small and Medium Businesses,USA,FL,Fort Lauderdale,angel,2014-06-08,2014,"2,000,000"
7AC Technologies,/organization/7ac-technologies,Clean Technology,USA,MA,Beverly,venture,2012-03-15,2012,"2,400,000"
7AC Technologies,/organization/7ac-technologies,Clean Technology,USA,MA,Beverly,B,2012-07-25,2012,"4,500,000"
7AC Technologies,/organization/7ac-technologies,Clean Technology,USA,MA,Beverly,venture,2013-12-20,2013,"2,500,000"
